=== JETPACK MOVEMENT LOG ===
Application started: 2025-12-07 12:00:56
==================================================
[12:00:58] Monitoring 300 jetpacks in New York
[12:00:59] HOTEL-218 moving 🚀 West (443 units)
[12:00:59] HOTEL-218 🚀 heading to parking NEW-P3
[12:00:59] INDIA-239 moving 🚀 Northwest (942 units)
[12:00:59] INDIA-239 🚀 heading to parking NEW-P190
[12:00:59] JULIET-260 moving 🚀 West (383 units)
[12:00:59] JULIET-260 🚀 heading to parking NEW-P166
[12:00:59] ECHO-265 moving 🚀 Southwest (785 units)
[12:00:59] ECHO-265 🚀 heading to parking NEW-P227
[12:00:59] DELTA-284 moving 🚀 East (862 units)
[12:00:59] DELTA-284 🚀 heading to parking NEW-P289
[12:00:59] ECHO-45 moving 🚀 West (521 units)
[12:00:59] ECHO-45 🚀 heading to parking NEW-P155
[12:00:59] ECHO-65 moving 🚀 North (420 units)
[12:00:59] ECHO-65 🚀 heading to parking NEW-P131
[12:00:59] HOTEL-88 moving 🚀 West (531 units)
[12:00:59] HOTEL-88 🚀 heading to parking NEW-P9
[12:00:59] JULIET-110 moving 🚀 Southwest (438 units)
[12:00:59] JULIET-110 🚀 heading to parking NEW-P134
[12:00:59] ALPHA-111 moving 🚀 Southwest (781 units)
[12:00:59] ALPHA-111 🚀 heading to parking NEW-P84
[12:00:59] CHARLIE-113 moving 🚀 East (741 units)
[12:00:59] CHARLIE-113 🚀 heading to parking NEW-P136
[12:00:59] FOXTROT-116 moving 🚀 East (769 units)
[12:00:59] FOXTROT-116 🚀 heading to parking NEW-P113
[12:00:59] DELTA-154 moving 🚀 West (380 units)
[12:00:59] DELTA-154 🚀 heading to parking NEW-P273
[12:00:59] CHARLIE-163 moving 🚀 Northeast (1317 units)
[12:00:59] CHARLIE-163 🚀 heading to parking NEW-P85
[12:00:59] CHARLIE-173 moving 🚀 Northeast (799 units)
[12:00:59] CHARLIE-173 🚀 heading to parking NEW-P223
[12:00:59] BRAVO-182 moving 🚀 Southeast (388 units)
[12:00:59] BRAVO-182 🚀 heading to parking NEW-P97
[12:00:59] FOXTROT-196 moving 🚀 Northwest (1254 units)
[12:00:59] FOXTROT-196 🚀 heading to parking NEW-P296
[12:00:59] HOTEL-208 moving 🚀 West (549 units)
[12:00:59] HOTEL-208 🚀 heading to parking NEW-P241
[12:00:59] DELTA-214 moving 🚀 South (271 units)
[12:00:59] DELTA-214 🚀 heading to parking NEW-P173
[12:00:59] INDIA-219 moving 🚀 West (1239 units)
[12:00:59] INDIA-219 🚀 heading to parking NEW-P60
[12:00:59] CHARLIE-223 moving 🚀 Southeast (718 units)
[12:00:59] CHARLIE-223 🚀 heading to parking NEW-P127
[12:00:59] ECHO-225 moving 🚀 South (738 units)
[12:00:59] ECHO-225 🚀 heading to parking NEW-P183
[12:00:59] ECHO-245 moving 🚀 Southeast (702 units)
[12:00:59] ECHO-245 🚀 heading to parking NEW-P52
[12:00:59] GOLF-247 moving 🚀 East (465 units)
[12:00:59] GOLF-247 🚀 heading to parking NEW-P124
[12:00:59] ECHO-255 moving 🚀 East (819 units)
[12:00:59] ECHO-255 🚀 heading to parking NEW-P136
[12:00:59] FOXTROT-266 moving 🚀 Southwest (737 units)
[12:00:59] FOXTROT-266 🚀 heading to parking NEW-P25
[12:00:59] INDIA-279 moving 🚀 East (172 units)
[12:00:59] INDIA-279 🚀 heading to parking NEW-P287
[12:00:59] INDIA-289 moving 🚀 East (743 units)
[12:00:59] INDIA-289 🚀 heading to parking NEW-P52
[12:00:59] JULIET-40 moving 🚀 Southwest (1607 units)
[12:00:59] JULIET-40 🚀 heading to parking NEW-P84
[12:00:59] ALPHA-91 moving 🚀 East (766 units)
[12:00:59] ALPHA-91 🚀 heading to parking NEW-P125
[12:00:59] ECHO-95 moving 🚀 North (286 units)
[12:00:59] ECHO-95 🚀 heading to parking NEW-P253
[12:00:59] GOLF-97 moving 🚀 Northeast (928 units)
[12:00:59] GOLF-97 🚀 heading to parking NEW-P83
[12:00:59] JULIET-140 moving 🚀 Southeast (554 units)
[12:00:59] JULIET-140 🚀 heading to parking NEW-P43
[12:00:59] DELTA-174 moving 🚀 Northeast (404 units)
[12:00:59] DELTA-174 🚀 heading to parking NEW-P214
[12:00:59] ECHO-195 moving 🚀 East (1267 units)
[12:00:59] ECHO-195 🚀 heading to parking NEW-P52
[12:00:59] BRAVO-222 moving 🚀 North (876 units)
[12:00:59] BRAVO-222 🚀 heading to parking NEW-P165
[12:00:59] BRAVO-282 moving 🚀 Northwest (552 units)
[12:00:59] BRAVO-282 🚀 heading to parking NEW-P24
[12:00:59] GOLF-287 moving 🚀 Northwest (131 units)
[12:00:59] GOLF-287 🚀 heading to parking NEW-P9
[12:00:59] ECHO-295 moving 🚀 Northeast (952 units)
[12:00:59] ECHO-295 🚀 heading to parking NEW-P45
[12:01:00] HOTEL-58 moving 🚀 North (560 units)
[12:01:00] HOTEL-58 🚀 heading to parking NEW-P278
[12:01:00] JULIET-100 moving 🚀 Southwest (447 units)
[12:01:00] JULIET-100 🚀 heading to parking NEW-P151
[12:01:00] BRAVO-122 moving 🚀 West (1126 units)
[12:01:00] BRAVO-122 🚀 heading to parking NEW-P278
[12:01:00] CHARLIE-193 moving 🚀 East (1240 units)
[12:01:00] CHARLIE-193 🚀 heading to parking NEW-P170
[12:01:00] DELTA-194 moving 🚀 West (596 units)
[12:01:00] DELTA-194 🚀 heading to parking NEW-P194
[12:01:00] GOLF-227 moving 🚀 North (403 units)
[12:01:00] GOLF-227 🚀 heading to parking NEW-P222
[12:01:00] GOLF-237 moving 🚀 Southwest (323 units)
[12:01:00] GOLF-237 🚀 heading to parking NEW-P175
[12:01:00] FOXTROT-246 moving 🚀 West (101 units)
[12:01:00] FOXTROT-246 🚀 heading to parking NEW-P237
[12:01:00] HOTEL-268 moving 🚀 Southeast (108 units)
[12:01:00] HOTEL-268 🚀 heading to parking NEW-P146
[12:01:00] HOTEL-278 moving 🚀 Southeast (816 units)
[12:01:00] HOTEL-278 🚀 heading to parking NEW-P156
[12:01:00] JULIET-290 moving 🚀 Southwest (516 units)
[12:01:00] JULIET-290 🚀 heading to parking NEW-P147
[12:01:00] INDIA-299 moving 🚀 Southwest (417 units)
[12:01:00] INDIA-299 🚀 heading to parking NEW-P279
[12:01:00] HOTEL-48 moving 🚀 North (699 units)
[12:01:00] HOTEL-48 🚀 heading to parking NEW-P21
[12:01:00] HOTEL-98 moving 🚀 Southeast (688 units)
[12:01:00] HOTEL-98 🚀 heading to parking NEW-P116
[12:01:00] JULIET-120 moving 🚀 North (501 units)
[12:01:00] JULIET-120 🚀 heading to parking NEW-P66
[12:01:00] GOLF-127 moving 🚀 Southwest (1028 units)
[12:01:00] GOLF-127 🚀 heading to parking NEW-P290
[12:01:00] CHARLIE-153 ✓ landed at NEW-P46 (parking for ~78s)
[12:01:00] INDIA-189 moving 🚀 Northeast (875 units)
[12:01:00] INDIA-189 🚀 heading to parking NEW-P293
[12:01:00] BRAVO-192 moving 🚀 North (262 units)
[12:01:00] BRAVO-192 🚀 heading to parking NEW-P58
[12:01:00] HOTEL-198 moving 🚀 Northeast (352 units)
[12:01:00] HOTEL-198 🚀 heading to parking NEW-P174
[12:01:00] CHARLIE-203 moving 🚀 Southwest (251 units)
[12:01:00] CHARLIE-203 🚀 heading to parking NEW-P248
[12:01:00] ALPHA-211 moving 🚀 Southwest (957 units)
[12:01:00] ALPHA-211 🚀 heading to parking NEW-P4
[12:01:00] INDIA-269 moving 🚀 North (111 units)
[12:01:00] INDIA-269 🚀 heading to parking NEW-P35
[12:01:00] JULIET-70 moving 🚀 East (364 units)
[12:01:00] JULIET-70 🚀 heading to parking NEW-P219
[12:01:00] HOTEL-78 moving 🚀 Northeast (734 units)
[12:01:00] HOTEL-78 🚀 heading to parking NEW-P171
[12:01:00] FOXTROT-86 moving 🚀 North (531 units)
[12:01:00] FOXTROT-86 🚀 heading to parking NEW-P222
[12:01:00] INDIA-199 moving 🚀 East (1304 units)
[12:01:00] INDIA-199 🚀 heading to parking NEW-P144
[12:01:00] BRAVO-202 moving 🚀 Southwest (292 units)
[12:01:00] BRAVO-202 🚀 heading to parking NEW-P208
[12:01:00] ECHO-205 moving 🚀 Southeast (120 units)
[12:01:00] ECHO-205 🚀 heading to parking NEW-P42
[12:01:00] CHARLIE-213 moving 🚀 Southeast (1102 units)
[12:01:00] CHARLIE-213 🚀 heading to parking NEW-P144
[12:01:00] ECHO-215 moving 🚀 East (1078 units)
[12:01:00] ECHO-215 🚀 heading to parking NEW-P138
[12:01:00] DELTA-234 moving 🚀 West (778 units)
[12:01:00] DELTA-234 🚀 heading to parking NEW-P122
[12:01:00] ALPHA-271 moving 🚀 West (1175 units)
[12:01:00] ALPHA-271 🚀 heading to parking NEW-P55
[12:01:00] BRAVO-272 moving 🚀 East (1180 units)
[12:01:00] BRAVO-272 🚀 heading to parking NEW-P298
[12:01:00] FOXTROT-276 moving 🚀 Northwest (910 units)
[12:01:00] FOXTROT-276 🚀 heading to parking NEW-P285
[12:01:00] BRAVO-42 moving 🚀 East (751 units)
[12:01:00] BRAVO-42 🚀 heading to parking NEW-P276
[12:01:00] DELTA-44 moving 🚀 Northwest (291 units)
[12:01:00] DELTA-44 🚀 heading to parking NEW-P244
[12:01:00] ALPHA-131 moving 🚀 Southeast (469 units)
[12:01:00] ALPHA-131 🚀 heading to parking NEW-P258
[12:01:00] ALPHA-171 moving 🚀 East (980 units)
[12:01:00] ALPHA-171 🚀 heading to parking NEW-P56
[12:01:00] DELTA-224 moving 🚀 West (88 units)
[12:01:00] DELTA-224 🚀 heading to parking NEW-P79
[12:01:00] JULIET-240 moving 🚀 Southeast (456 units)
[12:01:00] JULIET-240 🚀 heading to parking NEW-P288
[12:01:00] CHARLIE-273 moving 🚀 North (313 units)
[12:01:00] CHARLIE-273 🚀 heading to parking NEW-P253
[12:01:00] INDIA-79 moving 🚀 East (1110 units)
[12:01:00] INDIA-79 🚀 heading to parking NEW-P269
[12:01:00] BRAVO-102 moving 🚀 South (577 units)
[12:01:00] BRAVO-102 🚀 heading to parking NEW-P183
[12:01:00] FOXTROT-156 moving 🚀 Southwest (520 units)
[12:01:00] FOXTROT-156 🚀 heading to parking NEW-P38
[12:01:00] DELTA-184 moving 🚀 Northeast (93 units)
[12:01:00] DELTA-184 🚀 heading to parking NEW-P280
[12:01:00] ALPHA-241 moving 🚀 Northwest (381 units)
[12:01:00] ALPHA-241 🚀 heading to parking NEW-P241
[12:01:00] INDIA-49 moving 🚀 North (358 units)
[12:01:00] INDIA-49 🚀 heading to parking NEW-P221
[12:01:00] INDIA-59 moving 🚀 Northeast (276 units)
[12:01:00] INDIA-59 🚀 heading to parking NEW-P251
[12:01:00] DELTA-104 moving 🚀 East (280 units)
[12:01:00] DELTA-104 🚀 heading to parking NEW-P41
[12:01:00] HOTEL-158 moving 🚀 North (604 units)
[12:01:00] HOTEL-158 🚀 heading to parking NEW-P35
[12:01:00] BRAVO-212 ✓ landed at NEW-P264 (parking for ~48s)
[12:01:00] FOXTROT-226 moving 🚀 Northeast (1023 units)
[12:01:00] FOXTROT-226 🚀 heading to parking NEW-P294
[12:01:00] FOXTROT-236 moving 🚀 East (1141 units)
[12:01:00] FOXTROT-236 🚀 heading to parking NEW-P97
[12:01:00] ECHO-275 moving 🚀 South (791 units)
[12:01:00] ECHO-275 🚀 heading to parking NEW-P63
