=== RADAR COMMUNICATIONS LOG ===
City: New York
Application started: 2025-12-10 16:33:41
==================================================
[16:33:48] Radar communication initialized for New York
[16:34:02] John #10 moving 🚀 Northwest (263 units)
[16:34:02] David #10 moving 🚀 Southwest (603 units)
[16:34:02] Amanda #10 moving 🚀 Southeast (324 units)
[16:34:02] Emily #9 moving 🚀 Northwest (268 units)
[16:34:03] Chris #1 moving 🚀 Northeast (532 units)
[16:34:03] Amanda #9 moving 🚀 Northwest (1158 units)
[16:34:03] Robert #5 moving 🚀 North (59 units)
[16:34:03] Chris #4 moving 🚀 East (761 units)
[16:34:03] John #4 moving 🚀 West (871 units)
[16:34:03] Lisa #1 moving 🚀 Southwest (855 units)
[16:34:03] Amanda #8 moving 🚀 Southeast (67 units)
[16:34:03] Emily #8 moving 🚀 Northeast (1181 units)
[16:34:03] Lisa #10 moving 🚀 West (842 units)
[16:34:04] Jane #10 moving 🚀 North (438 units)
[16:34:04] Lisa #8 moving 🚀 East (698 units)
[16:34:04] Robert #10 moving 🚀 Southwest (415 units)
[16:34:04] Robert #5 moving 🚀 Northwest (221 units)
[16:34:04] Lisa #4 moving 🚀 West (505 units)
[16:34:04] Michael #2 moving 🚀 West (657 units)
[16:34:04] Amanda #7 moving 🚀 East (313 units)
[16:34:04] Amanda #8 moving 🚀 Northwest (375 units)
[16:34:05] Robert #2 moving 🚀 Northeast (570 units)
[16:34:05] David #9 moving 🚀 West (1170 units)
[16:34:05] Sarah #4 moving 🚀 East (513 units)
[16:34:05] Emily #5 moving 🚀 East (533 units)
[16:34:05] Chris #7 moving 🚀 Southeast (166 units)
[16:34:05] Sarah #8 moving 🚀 North (627 units)
[16:34:05] David #7 moving 🚀 Northwest (558 units)
[16:34:06] Amanda #6 moving 🚀 West (327 units)
[16:34:06] Lisa #7 acknowledges radio instruction: Proceeding to (663,335) - Traffic separation
[16:34:06] ATC-NEW → Lisa #7
📡 COLLISION AVOIDANCE
➤ Traffic alert - change course
---

[16:34:06] Lisa #6 moving 🚀 West (695 units)
[16:34:06] Robert #8 moving 🚀 Northeast (294 units)
[16:34:06] Sarah #2 moving 🚀 Northwest (889 units)
[16:34:06] Michael #7 moving 🚀 East (565 units)
[16:34:06] Lisa #7 moving 🚀 North (664 units)
[16:34:06] Emily #6 moving 🚀 North (303 units)
[16:34:06] Jane #6 moving 🚀 Southeast (328 units)
[16:34:07] John #1 moving 🚀 Northwest (215 units)
[16:34:07] John #3 moving 🚀 Southeast (1116 units)
[16:34:07] Michael #8 moving 🚀 East (592 units)
[16:34:07] John #9 moving 🚀 East (247 units)
[16:34:07] Emily #3 moving 🚀 North (813 units)
[16:34:08] John #10 moving 🚀 Southwest (1092 units)
[16:34:08] Jane #5 moving 🚀 Northwest (385 units)
[16:34:08] Emily #7 moving 🚀 East (834 units)
[16:34:08] Chris #9 moving 🚀 Southwest (908 units)
[16:34:08] Emily #9 moving 🚀 East (595 units)
[16:34:08] Robert #3 moving 🚀 Southeast (504 units)
[16:34:08] Chris #8 moving 🚀 East (729 units)
[16:34:08] Emily #10 moving 🚀 North (249 units)
[16:34:09] Robert #5 moving 🚀 East (76 units)
[16:34:09] Amanda #2 moving 🚀 Northeast (1331 units)
[16:34:09] Sarah #6 moving 🚀 Northeast (929 units)
[16:34:09] Emily #4 moving 🚀 West (492 units)
[16:34:09] Chris #7 moving 🚀 East (1139 units)
[16:34:09] Amanda #10 moving 🚀 South (525 units)
[16:34:09] Amanda #5 moving 🚀 North (958 units)
[16:34:09] Jane #2 moving 🚀 North (579 units)
[16:34:09] Chris #2 moving 🚀 Northeast (805 units)
[16:34:10] Jane #9 moving 🚀 Southwest (615 units)
[16:34:10] David #2 moving 🚀 West (665 units)
[16:34:10] John #6 moving 🚀 Northeast (401 units)
[16:34:10] Emily #2 moving 🚀 East (579 units)
[16:34:10] John #5 moving 🚀 Southwest (796 units)
[16:34:10] Robert #5 moving 🚀 Northwest (636 units)
[16:34:10] Chris #6 moving 🚀 South (345 units)
[16:34:10] David #6 moving 🚀 Northeast (1287 units)
[16:34:11] Robert #1 moving 🚀 Northeast (1103 units)
[16:34:11] Jane #1 moving 🚀 Northwest (978 units)
[16:34:11] Sarah #9 moving 🚀 Southeast (260 units)
[16:34:11] Michael #6 moving 🚀 West (968 units)
[16:34:11] Robert #4 moving 🚀 Southeast (362 units)
[16:34:11] Amanda #7 moving 🚀 West (423 units)
[16:34:11] Jane #7 moving 🚀 Northeast (240 units)
[16:34:12] John #1 moving 🚀 East (1188 units)
[16:34:12] Sarah #1 moving 🚀 West (1192 units)
[16:34:12] Robert #8 moving 🚀 East (664 units)
[16:34:12] Lisa #2 moving 🚀 North (717 units)
[16:34:12] Sarah #5 moving 🚀 West (367 units)
[16:34:12] Jane #4 moving 🚀 Southwest (872 units)
[16:34:12] John #8 moving 🚀 Northeast (158 units)
[16:34:13] David #8 moving 🚀 Southeast (493 units)
[16:34:13] John #9 moving 🚀 East (738 units)
[16:34:13] Amanda #8 moving 🚀 Southwest (423 units)
[16:34:13] Robert #10 moving 🚀 Northeast (766 units)
[16:34:13] Amanda #6 moving 🚀 North (622 units)
[16:34:13] Michael #10 moving 🚀 West (965 units)
[16:34:13] Sarah #3 moving 🚀 Northwest (380 units)
[16:34:13] Emily #6 moving 🚀 East (451 units)
[16:34:13] Jane #10 moving 🚀 South (483 units)
[16:34:13] Amanda #1 moving 🚀 East (814 units)
[16:34:13] David #1 moving 🚀 Northeast (372 units)
[16:34:14] Jane #3 moving 🚀 West (1485 units)
[16:34:14] Emily #10 moving 🚀 East (379 units)
[16:34:14] Jane #6 moving 🚀 Southwest (666 units)
[16:34:14] Lisa #5 moving 🚀 Northeast (594 units)
[16:34:14] Amanda #4 moving 🚀 East (355 units)
[16:34:14] Chris #1 moving 🚀 Southwest (1195 units)
[16:34:15] David #5 moving 🚀 West (1347 units)
[16:34:15] Sarah #7 moving 🚀 West (767 units)
[16:34:15] Lisa #4 moving 🚀 South (355 units)
[16:34:15] Emily #1 moving 🚀 West (342 units)
[16:34:15] David #10 moving 🚀 Southwest (599 units)
[16:34:16] John #2 moving 🚀 West (315 units)
[16:34:16] John #7 moving 🚀 West (419 units)
[16:34:16] Chris #3 moving 🚀 West (598 units)
[16:34:16] John #8 moving 🚀 South (301 units)
[16:34:16] Sarah #4 moving 🚀 North (123 units)
[16:34:16] Jane #5 moving 🚀 South (346 units)
[16:34:16] Michael #5 moving 🚀 East (58 units)
[16:34:17] Jane #8 moving 🚀 West (615 units)
[16:34:17] Sarah #9 moving 🚀 Southwest (1262 units)
[16:34:17] Emily #5 moving 🚀 Northwest (1348 units)
[16:34:17] Jane #7 moving 🚀 West (456 units)
[16:34:17] Amanda #7 acknowledges radio instruction: Proceeding to (1098,561) - Traffic separation
[16:34:17] ATC-NEW → Amanda #7
📡 COLLISION AVOIDANCE
➤ Traffic alert - change course
---

[16:34:17] Michael #3 moving 🚀 South (637 units)
[16:34:18] Robert #2 moving 🚀 South (717 units)
[16:34:18] Amanda #3 moving 🚀 Southeast (439 units)
[16:34:18] Michael #5 moving 🚀 Southwest (405 units)
[16:34:18] David #4 moving 🚀 West (678 units)
[16:34:18] David #7 moving 🚀 West (607 units)
[16:34:18] Chris #6 moving 🚀 Northeast (264 units)
[16:34:19] Amanda #7 moving 🚀 Southwest (455 units)
[16:34:19] Michael #4 moving 🚀 Southeast (335 units)
[16:34:19] John #6 moving 🚀 Northwest (315 units)
[16:34:19] Michael #7 moving 🚀 Northwest (714 units)
[16:34:19] Robert #9 moving 🚀 Southeast (640 units)
[16:34:19] Sarah #4 moving 🚀 West (547 units)
[16:34:19] Michael #2 moving 🚀 South (471 units)
[16:34:19] Lisa #8 moving 🚀 North (511 units)
[16:34:20] Robert #3 moving 🚀 Northwest (910 units)
[16:34:20] Robert #6 moving 🚀 West (866 units)
[16:34:20] Chris #5 moving 🚀 West (975 units)
[16:34:20] Sarah #8 moving 🚀 West (803 units)
[16:34:20] Robert #4 moving 🚀 Northeast (186 units)
[16:34:20] Michael #9 moving 🚀 Southeast (962 units)
[16:34:20] Chris #4 moving 🚀 Southwest (444 units)
[16:34:20] Emily #4 moving 🚀 South (644 units)
[16:34:20] Michael #1 moving 🚀 Southeast (56 units)
[16:34:21] David #3 moving 🚀 East (397 units)
[16:34:21] Michael #8 moving 🚀 North (717 units)
[16:34:21] Sarah #5 moving 🚀 Northwest (595 units)
[16:34:21] Amanda #10 moving 🚀 Northwest (779 units)
[16:34:21] Sarah #10 moving 🚀 East (1229 units)
[16:34:22] Lisa #3 moving 🚀 West (542 units)
[16:34:22] Lisa #7 moving 🚀 Southeast (597 units)
[16:34:22] Emily #9 moving 🚀 West (698 units)
[16:34:22] Michael #1 moving 🚀 East (253 units)
[16:34:22] Lisa #6 moving 🚀 Northeast (797 units)
[16:34:22] Sarah #3 moving 🚀 Northeast (634 units)
[16:34:22] David #1 moving 🚀 South (675 units)
[16:34:23] Lisa #1 moving 🚀 East (541 units)
[16:34:23] Amanda #4 moving 🚀 West (853 units)
[16:34:23] Emily #10 moving 🚀 South (867 units)
[16:34:23] Lisa #10 moving 🚀 Southeast (857 units)
[16:34:23] Amanda #8 moving 🚀 Southwest (674 units)
[16:34:23] John #2 moving 🚀 East (836 units)
[16:34:23] Jane #2 moving 🚀 East (356 units)
[16:34:23] John #4 moving 🚀 South (187 units)
[16:34:24] John #8 moving 🚀 North (854 units)
[16:34:24] Emily #1 moving 🚀 North (652 units)
[16:34:24] Emily #2 moving 🚀 Southwest (1019 units)
[16:34:24] Lisa #4 moving 🚀 East (620 units)
[16:34:24] Chris #10 moving 🚀 Northeast (681 units)
[16:34:24] Emily #6 moving 🚀 South (185 units)
[16:34:24] Jane #9 moving 🚀 West (538 units)
[16:34:25] Robert #4 moving 🚀 Southwest (864 units)
[16:34:25] David #8 moving 🚀 Southwest (531 units)
[16:34:25] Jane #10 moving 🚀 North (617 units)
[16:34:25] Chris #6 moving 🚀 Southwest (468 units)
[16:34:25] Jane #5 moving 🚀 South (584 units)
[16:34:25] Chris #8 moving 🚀 West (759 units)
[16:34:26] Lisa #9 moving 🚀 Southwest (308 units)
[16:34:26] Robert #5 moving 🚀 Southeast (928 units)
[16:34:26] David #2 moving 🚀 Northeast (568 units)
[16:34:26] John #7 moving 🚀 West (441 units)
[16:34:27] Emily #3 moving 🚀 Southwest (938 units)
[16:34:27] Robert #7 moving 🚀 South (535 units)
[16:34:27] John #6 moving 🚀 South (559 units)
[16:34:27] Sarah #2 moving 🚀 East (927 units)
[16:34:27] Michael #4 moving 🚀 Northwest (489 units)
[16:34:28] Emily #7 moving 🚀 West (794 units)
[16:34:28] John #4 moving 🚀 Northwest (187 units)
[16:34:28] Michael #5 moving 🚀 South (241 units)
[16:34:28] Michael #1 moving 🚀 East (123 units)
[16:34:28] Amanda #6 moving 🚀 Northeast (223 units)
[16:34:29] Lisa #5 moving 🚀 Southwest (949 units)
[16:34:29] Jane #7 moving 🚀 South (622 units)
[16:34:29] Robert #8 moving 🚀 Southwest (160 units)
[16:34:29] ATC-NEW → Sarah #2
📡 ALTITUDE CLEARANCE
➤ Cleared to new altitude
---

[16:34:29] Amanda #3 moving 🚀 Northwest (1125 units)
[16:34:29] Emily #6 moving 🚀 Southeast (491 units)
[16:34:29] Chris #2 moving 🚀 South (306 units)
[16:34:30] John #5 moving 🚀 Northeast (1113 units)
[16:34:30] Chris #9 moving 🚀 Northeast (1003 units)
[16:34:30] Amanda #9 moving 🚀 East (1216 units)
[16:34:30] Lisa #2 moving 🚀 Southeast (703 units)
[16:34:30] Jane #6 moving 🚀 North (766 units)
[16:34:30] Amanda #7 moving 🚀 North (187 units)
[16:34:31] David #10 moving 🚀 West (174 units)
[16:34:31] David #3 moving 🚀 North (459 units)
[16:34:31] John #9 moving 🚀 West (429 units)
[16:34:31] Chris #3 moving 🚀 Northeast (257 units)
[16:34:31] Emily #8 moving 🚀 Southwest (635 units)
[16:34:32] Sarah #6 moving 🚀 West (584 units)
[16:34:32] Michael #1 moving 🚀 South (342 units)
[16:34:32] Michael #2 moving 🚀 South (342 units)
[16:34:32] Chris #4 moving 🚀 Southeast (829 units)
[16:34:32] Robert #10 moving 🚀 Southwest (1064 units)
[16:34:33] Jane #2 moving 🚀 Southwest (1295 units)
[16:34:33] Jane #8 moving 🚀 North (723 units)
[16:34:33] Lisa #8 moving 🚀 Northwest (776 units)
[16:34:33] Amanda #5 moving 🚀 Southwest (1485 units)
[16:34:33] John #4 moving 🚀 Northeast (1205 units)
[16:34:33] Robert #8 moving 🚀 Southwest (1326 units)
[16:34:33] David #9 moving 🚀 Northeast (380 units)
[16:34:34] Sarah #4 moving 🚀 East (1013 units)
[16:34:34] Michael #3 moving 🚀 North (857 units)
[16:34:34] Lisa #9 moving 🚀 Northeast (270 units)
[16:34:34] Amanda #1 moving 🚀 Southeast (231 units)
[16:34:34] David #7 moving 🚀 Southeast (608 units)
[16:34:35] Sarah #7 moving 🚀 Southeast (335 units)
[16:34:35] Amanda #6 moving 🚀 Southeast (756 units)
[16:34:35] John #3 moving 🚀 Northwest (691 units)
[16:34:35] Jane #4 moving 🚀 North (854 units)
[16:34:35] Michael #5 moving 🚀 North (463 units)
[16:34:35] John #10 moving 🚀 East (603 units)
[16:34:36] David #10 moving 🚀 Northeast (1028 units)
[16:34:36] Michael #6 moving 🚀 Southeast (761 units)
[16:34:36] Amanda #7 moving 🚀 Northwest (752 units)
[16:34:36] Jane #1 moving 🚀 East (857 units)
[16:34:36] David #4 moving 🚀 Northeast (665 units)
[16:34:37] Lisa #3 moving 🚀 Southeast (558 units)
[16:34:37] Robert #9 moving 🚀 Southwest (343 units)
[16:34:37] Robert #2 moving 🚀 North (737 units)
[16:34:38] Sarah #5 moving 🚀 East (1159 units)
[16:34:38] Lisa #1 moving 🚀 West (585 units)
[16:34:38] Emily #4 moving 🚀 Northeast (89 units)
[16:34:38] Chris #2 moving 🚀 West (251 units)
[16:34:38] Chris #7 moving 🚀 West (1286 units)
[16:34:38] Lisa #7 moving 🚀 West (234 units)
[16:34:39] Chris #6 moving 🚀 Southwest (657 units)
[16:34:39] Michael #10 moving 🚀 Southeast (759 units)
[16:34:39] Michael #7 moving 🚀 Southeast (1235 units)
[16:34:39] John #7 moving 🚀 South (615 units)
[16:34:39] Chris #3 moving 🚀 Southwest (354 units)
[16:34:40] Robert #1 moving 🚀 Southeast (603 units)
[16:34:40] Jane #9 moving 🚀 East (756 units)
[16:34:40] David #8 moving 🚀 North (781 units)
[16:34:40] Sarah #3 moving 🚀 Northwest (848 units)
[16:34:40] ATC-NEW → John #2
📡 ALTITUDE CLEARANCE
➤ Cleared to new altitude
---

[16:34:41] Emily #4 moving 🚀 Northwest (271 units)
[16:34:41] Michael #8 moving 🚀 Southwest (1052 units)
[16:34:41] Amanda #1 moving 🚀 Southwest (512 units)
[16:34:41] Emily #9 moving 🚀 North (477 units)
[16:34:42] David #1 moving 🚀 Northwest (463 units)
[16:34:42] Lisa #4 moving 🚀 Northwest (784 units)
[16:34:42] Michael #4 moving 🚀 Southeast (907 units)
[16:34:42] Jane #5 moving 🚀 Northeast (936 units)
[16:34:42] Michael #1 moving 🚀 South (586 units)
[16:34:42] Michael #2 moving 🚀 North (929 units)
[16:34:42] Amanda #8 moving 🚀 South (66 units)
[16:34:42] Sarah #8 moving 🚀 East (392 units)
[16:34:43] Lisa #9 moving 🚀 North (497 units)
[16:34:43] Emily #1 moving 🚀 West (681 units)
[16:34:43] David #2 moving 🚀 Southwest (888 units)
[16:34:43] Robert #7 moving 🚀 Northwest (438 units)
[16:34:44] Jane #10 moving 🚀 Southeast (768 units)
[16:34:44] Amanda #10 moving 🚀 Southwest (624 units)
[16:34:45] Emily #6 moving 🚀 West (947 units)
[16:34:45] Chris #10 moving 🚀 South (634 units)
[16:34:45] John #1 moving 🚀 Northwest (178 units)
[16:34:45] John #6 moving 🚀 Northwest (376 units)
[16:34:45] Amanda #2 moving 🚀 West (414 units)
[16:34:46] Robert #6 moving 🚀 Northeast (798 units)
[16:34:46] Sarah #1 moving 🚀 South (164 units)
[16:34:46] Amanda #8 moving 🚀 North (885 units)
[16:34:46] John #9 moving 🚀 Northwest (1139 units)
[16:34:47] Lisa #6 moving 🚀 West (1004 units)
[16:34:47] Sarah #7 moving 🚀 Southwest (553 units)
[16:34:47] David #3 moving 🚀 Southeast (929 units)
[16:34:47] David #9 moving 🚀 Southeast (173 units)
[16:34:48] David #6 moving 🚀 West (667 units)
[16:34:48] Robert #3 moving 🚀 Northeast (420 units)
[16:34:48] Lisa #7 moving 🚀 Southwest (913 units)
[16:34:49] Chris #2 moving 🚀 East (415 units)
[16:34:51] Robert #9 moving 🚀 North (177 units)
[16:34:51] Michael #9 moving 🚀 West (890 units)
[16:34:51] Chris #1 moving 🚀 Northeast (999 units)
[16:34:52] John #2 moving 🚀 West (541 units)
[16:34:52] ATC-NEW → Emily #1
📡 ALTITUDE CHANGE
➤ Climb to avoid weather
---

[16:34:52] Jane #7 moving 🚀 Northeast (612 units)
[16:34:52] Amanda #4 moving 🚀 East (588 units)
[16:34:52] Chris #5 moving 🚀 North (816 units)
[16:34:52] Chris #8 moving 🚀 Southeast (918 units)
[16:34:53] Lisa #10 moving 🚀 Northwest (391 units)
[16:34:53] Emily #10 moving 🚀 Northwest (680 units)
[16:34:54] John #8 moving 🚀 South (679 units)
[16:34:55] Emily #4 moving 🚀 Northeast (231 units)
[16:34:55] Sarah #1 moving 🚀 East (677 units)
[16:34:55] John #1 moving 🚀 Southwest (918 units)
[16:34:55] Michael #5 moving 🚀 Northeast (239 units)
[16:34:56] Sarah #6 moving 🚀 Southeast (504 units)
[16:34:56] Robert #4 moving 🚀 East (1000 units)
[16:34:56] Chris #3 moving 🚀 Northeast (825 units)
[16:34:57] David #9 moving 🚀 Southeast (654 units)
[16:35:02] Emily #8 moving 🚀 Southeast (209 units)
[16:35:04] Sarah #7 🚨 EMERGENCY LANDING: RADIO ORDER: Weather conditions critical - Fog. Emergency landing authorized - Heading to parking at (690,551)
[16:35:04] ATC-NEW → Sarah #7
📡 EMERGENCY LANDING REQUIRED
➤ Land immediately at nearest parking
---

[16:35:04] Emily #7 moving 🚀 West (196 units)
[16:35:05] Lisa #2 moving 🚀 North (668 units)
[16:35:07] David #5 moving 🚀 East (731 units)
[16:35:08] Robert #9 moving 🚀 Northeast (473 units)
[16:35:09] Sarah #9 moving 🚀 North (483 units)
[16:35:09] David #7 moving 🚀 Northwest (296 units)
[16:35:11] Robert #5 moving 🚀 South (277 units)
[16:35:12] John #10 moving 🚀 East (660 units)
[16:35:12] Lisa #3 moving 🚀 West (599 units)
[16:35:13] Jane #6 moving 🚀 Southeast (937 units)
[16:35:13] Emily #2 moving 🚀 Northeast (125 units)
[16:35:15] ATC-NEW → Sarah #4
📡 ALTITUDE CHANGE
➤ Climb to avoid weather
---

[16:35:15] Sarah #8 moving 🚀 Southeast (722 units)
[16:35:16] Sarah #7 moving 🚀 East (509 units)
[16:35:18] Jane #8 moving 🚀 Southwest (901 units)
[16:35:18] Emily #3 moving 🚀 East (280 units)
[16:35:19] Sarah #2 moving 🚀 Southwest (875 units)
[16:35:20] John #6 moving 🚀 West (173 units)
[16:35:20] Jane #3 moving 🚀 Northeast (846 units)
[16:35:22] Emily #5 moving 🚀 East (1317 units)
[16:35:22] David #1 moving 🚀 East (1074 units)
[16:35:23] Lisa #1 moving 🚀 North (290 units)
[16:35:24] Robert #7 moving 🚀 South (229 units)
[16:35:24] Emily #4 moving 🚀 West (433 units)
[16:35:24] Emily #9 moving 🚀 South (463 units)
[16:35:25] John #3 moving 🚀 North (308 units)
[16:35:26] Michael #5 moving 🚀 South (506 units)
[16:35:26] Amanda #2 moving 🚀 East (184 units)
[16:35:26] David #4 moving 🚀 South (253 units)
[16:35:27] Chris #5 acknowledges radio instruction: Proceeding to (505,527) - Weather avoidance - Mist
[16:35:27] ATC-NEW → Chris #5
📡 DETOUR AROUND WEATHER
➤ Alter course to avoid storm
---

[16:35:27] Lisa #8 moving 🚀 Southwest (995 units)
[16:35:28] Amanda #1 moving 🚀 West (534 units)
[16:35:29] Chris #4 moving 🚀 Northwest (738 units)
[16:35:29] Lisa #5 moving 🚀 Northeast (569 units)
[16:35:30] Emily #8 moving 🚀 Northeast (816 units)
[16:35:30] Sarah #10 moving 🚀 West (641 units)
[16:35:31] Emily #7 moving 🚀 Northeast (109 units)
[16:35:31] Emily #2 moving 🚀 Northeast (1246 units)
[16:35:31] Lisa #9 moving 🚀 West (921 units)
[16:35:32] John #7 moving 🚀 East (573 units)
[16:35:32] Chris #5 moving 🚀 Northeast (769 units)
[16:35:33] Amanda #6 moving 🚀 Northwest (1351 units)
[16:35:33] Robert #1 moving 🚀 West (1248 units)
[16:35:34] Robert #3 moving 🚀 Southwest (1078 units)
[16:35:35] Chris #2 moving 🚀 Northwest (665 units)
[16:35:35] Chris #6 moving 🚀 North (649 units)
[16:35:37] Amanda #7 moving 🚀 Northeast (666 units)
[16:35:38] Michael #6 moving 🚀 North (644 units)
[16:35:38] Chris #7 🚨 EMERGENCY LANDING: RADIO ORDER: Weather conditions critical - Mist. Emergency landing authorized - Heading to parking at (690,551)
[16:35:38] ATC-NEW → Chris #7
📡 EMERGENCY LANDING REQUIRED
➤ Land immediately at nearest parking
---

[16:35:39] Robert #2 moving 🚀 Southwest (690 units)
[16:35:40] Lisa #10 moving 🚀 Northwest (772 units)
[16:35:41] Michael #1 moving 🚀 Northeast (670 units)
[16:35:42] Michael #3 moving 🚀 Southwest (614 units)
[16:35:42] Chris #9 moving 🚀 South (809 units)
[16:35:43] John #6 moving 🚀 East (647 units)
[16:35:44] Emily #7 moving 🚀 North (572 units)
[16:35:44] Chris #7 moving 🚀 Northwest (673 units)
[16:35:45] Jane #4 moving 🚀 East (284 units)
[16:35:46] Michael #10 moving 🚀 Northeast (661 units)
[16:35:46] Robert #5 moving 🚀 Northwest (864 units)
[16:35:46] David #7 moving 🚀 Southwest (335 units)
[16:35:47] Amanda #2 moving 🚀 South (725 units)
[16:35:47] Jane #1 moving 🚀 South (241 units)
